site,subpop,id,Status2017,Status2018,Status2019,area17,surv18,area19
Den Hill Preserve,TRANSPLOT,1955,TRANSPLANT,,PLANT GONE,10,0,
Den Hill Preserve,TRANSPLOT,1956,TRANSPLANT,,PLANT GONE,10,1,
Den Hill Preserve,TRANSPLOT,1957,TRANSPLANT,,PLANT GONE,10,0,
Den Hill Preserve,TRANSPLOT,1958,TRANSPLANT,,PLANT GONE,10,0,
Den Hill Preserve,TRANSPLOT,1959,TRANSPLANT,,REPEAT,10,1,80
Den Hill Preserve,TRANSPLOT,1960,TRANSPLANT,,PLANT GONE,5,0,
Den Hill Preserve,TRANSPLOT,1961,TRANSPLANT,,PLANT GONE,10,0,
Den Hill Preserve,TRANSPLOT,1962,TRANSPLANT,,REPEAT,10,0,20
Den Hill Preserve,TRANSPLOT,1963,TRANSPLANT,,PLANT GONE,10,1,
Den Hill Preserve,TRANSPLOT,1964,TRANSPLANT,,PLANT GONE,10,0,
Den Hill Preserve,TRANSPLOT,1965,TRANSPLANT,,PLANT GONE,5,0,
Den Hill Preserve,TRANSPLOT,1966,TRANSPLANT,,PLANT GONE,5,1,
Den Hill Preserve,TRANSPLOT,1967,TRANSPLANT,,NOTFOUND,10,1,
Den Hill Preserve,TRANSPLOT,1968,TRANSPLANT,,NOTFOUND,10,0,
Den Hill Preserve,TRANSPLOT,1969,TRANSPLANT,,REPEAT,10,1,40
Den Hill Preserve,TRANSPLOT,1970,TRANSPLANT,,PLANT GONE,10,1,
Den Hill Preserve,TRANSPLOT,1971,TRANSPLANT,,PLANT GONE,10,0,
Den Hill Preserve,TRANSPLOT,1972,TRANSPLANT,,PLANT GONE,10,0,
Den Hill Preserve,TRANSPLOT,1973,TRANSPLANT,,PLANT GONE,5,1,
Den Hill Preserve,TRANSPLOT,1974,TRANSPLANT,,PLANT GONE,10,0,
Den Hill Preserve,TRANSPLOT,1975,TRANSPLANT,,PLANT GONE,10,0,
Den Hill Preserve,TRANSPLOT,1976,TRANSPLANT,,PLANT GONE,10,0,
Den Hill Preserve,TRANSPLOT,1977,TRANSPLANT,,PLANT GONE,10,0,
Den Hill Preserve,TRANSPLOT,1978,TRANSPLANT,,PLANT GONE,10,0,
Den Hill Preserve,TRANSPLOT,1979,TRANSPLANT,,PLANT GONE,5,0,
Den Hill Preserve,TRANSPLOT,1980,TRANSPLANT,,PLANT GONE,5,0,
Den Hill Preserve,TRANSPLOT,1981,TRANSPLANT,,PLANT GONE,5,0,
Den Hill Preserve,TRANSPLOT,1982,TRANSPLANT,,PLANT GONE,10,0,
Den Hill Preserve,TRANSPLOT,1983,TRANSPLANT,,REPEAT,10,1,40
Den Hill Preserve,TRANSPLOT,1984,TRANSPLANT,,PLANT GONE,5,1,
Den Hill Preserve,TRANSPLOT,1985,TRANSPLANT,,PLANT GONE,5,0,
Den Hill Preserve,TRANSPLOT,1986,TRANSPLANT,,PLANT GONE,5,1,
Den Hill Preserve,TRANSPLOT,1987,TRANSPLANT,,REPEAT,5,1,90
Den Hill Preserve,TRANSPLOT,1988,TRANSPLANT,,PLANT GONE,10,0,
Den Hill Preserve,TRANSPLOT,1989,TRANSPLANT,,PLANT GONE,10,0,
Den Hill Preserve,TRANSPLOT,1990,TRANSPLANT,,NOTFOUND,10,1,